Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 1 | Steps: 142 | Total Reward: -4365.88 | Avg: -30.7456
Ep: 2 | Steps: 1000 | Total Reward: -138958.59 | Avg: -138.9586
Ep: 3 | Steps: 1000 | Total Reward: -135626.64 | Avg: -135.6266
Ep: 4 | Steps: 334 | Total Reward: -50188.92 | Avg: -150.2662
Ep: 5 | Steps: 4 | Total Reward: -121.66 | Avg: -30.4147
Ep: 6 | Steps: 13 | Total Reward: -151.07 | Avg: -11.6210
Ep: 7 | Steps: 15 | Total Reward: -161.29 | Avg: -10.7530
Ep: 8 | Steps: 1000 | Total Reward: -123749.03 | Avg: -123.7490
Ep: 9 | Steps: 120 | Total Reward: -10349.79 | Avg: -86.2482
Ep: 10 | Steps: 79 | Total Reward: -375.76 | Avg: -4.7564
Ep: 11 | Steps: 54 | Total Reward: -293.43 | Avg: -5.4338
Ep: 12 | Steps: 86 | Total Reward: -396.11 | Avg: -4.6059
Ep: 13 | Steps: 4 | Total Reward: -117.74 | Avg: -29.4348
Ep: 14 | Steps: 64 | Total Reward: -324.20 | Avg: -5.0656
Ep: 15 | Steps: 39 | Total Reward: -237.05 | Avg: -6.0781
Ep: 16 | Steps: 15 | Total Reward: -155.69 | Avg: -10.3796

--- Updating Brain (Step 4000) ---
Ep: 17 | Steps: 32 | Total Reward: -221.22 | Avg: -6.9131
Ep: 18 | Steps: 13 | Total Reward: -150.05 | Avg: -11.5420
Ep: 19 | Steps: 80 | Total Reward: -1798.20 | Avg: -22.4776
Ep: 20 | Steps: 11 | Total Reward: -138.11 | Avg: -12.5555
Ep: 21 | Steps: 257 | Total Reward: -24129.68 | Avg: -93.8898
Ep: 22 | Steps: 685 | Total Reward: -18584.30 | Avg: -27.1304
Ep: 23 | Steps: 41 | Total Reward: -6023.71 | Avg: -146.9198
Ep: 24 | Steps: 103 | Total Reward: -461.81 | Avg: -4.4836
Ep: 25 | Steps: 29 | Total Reward: -2073.04 | Avg: -71.4841
Ep: 26 | Steps: 1000 | Total Reward: -124083.58 | Avg: -124.0836
Ep: 27 | Steps: 1000 | Total Reward: -125621.54 | Avg: -125.6215

--- Updating Brain (Step 8000) ---
Ep: 28 | Steps: 1000 | Total Reward: -139375.06 | Avg: -139.3751
Ep: 29 | Steps: 1000 | Total Reward: -166971.64 | Avg: -166.9716
Ep: 30 | Steps: 1000 | Total Reward: -131499.91 | Avg: -131.4999
Ep: 31 | Steps: 614 | Total Reward: -81676.60 | Avg: -133.0238
Ep: 32 | Steps: 76 | Total Reward: -2969.73 | Avg: -39.0753
Ep: 33 | Steps: 111 | Total Reward: -8096.81 | Avg: -72.9443
Ep: 34 | Steps: 36 | Total Reward: -221.03 | Avg: -6.1399
Ep: 35 | Steps: 73 | Total Reward: -339.58 | Avg: -4.6518
